#numMotions
8
#motionIndex
0 0
#motionName
rest rest
#numFrames
799 799
#minListSize
138
#i j distance theta x0 z0
479 324 354.352 1.7693 -3.28281 0.865835
483 324 354.378 1.7668 -3.28487 0.86258
0 326 354.633 1.6212 -3.42255 0.643295
691 325 354.719 1.71588 -3.34736 0.793466
643 324 355.33 1.74048 -3.31334 0.825054
654 325 355.357 1.7374 -3.3267 0.823523
651 324 355.374 1.73539 -3.31833 0.818299
663 325 355.421 1.73238 -3.33177 0.816688
634 324 355.547 1.74605 -3.30767 0.832297
506 324 355.825 1.75834 -3.29186 0.851265
160 327 355.833 1.57778 -3.47168 0.590395
620 324 355.993 1.75278 -3.30046 0.840899
614 324 356.019 1.75477 -3.2982 0.843457
531 324 356.632 1.75816 -3.29191 0.849517
536 324 356.645 1.75808 -3.292 0.849047
574 324 356.67 1.75668 -3.29425 0.84614
578 324 356.7 1.75709 -3.29407 0.846636
552 324 356.778 1.75754 -3.29278 0.847569
557 324 356.807 1.75715 -3.29327 0.846918
81 326 357.929 1.58473 -3.45341 0.594563
72 326 358.039 1.58931 -3.4496 0.600651
101 326 358.175 1.58001 -3.45794 0.588897
418 325 358.282 1.76466 -3.3015 0.863762
429 325 358.288 1.77018 -3.29539 0.871297
412 325 358.38 1.76261 -3.3038 0.860618
120 326 358.388 1.58222 -3.45746 0.593208
58 326 358.521 1.5992 -3.44163 0.614167
42 326 359.21 1.60918 -3.43341 0.627779
39 326 359.222 1.6099 -3.43267 0.628708
36 326 359.298 1.60998 -3.43239 0.62877
363 325 360.215 1.71368 -3.3483 0.790755
379 325 360.46 1.74171 -3.32373 0.828777
338 326 360.942 1.65025 -3.40939 0.706287
#motionIndex
0 2
#motionName
rest run
#numFrames
799 130
#minListSize
102
#i j distance theta x0 z0
759 109 1635.44 2.04793 -3.08624 0.494952
478 108 1636.32 2.10112 -3.02368 0.554013
488 108 1636.61 2.09507 -3.02682 0.547729
241 110 1636.84 1.88473 -3.19024 0.326974
463 108 1637.66 2.11119 -3.01839 0.564737
506 108 1638.88 2.09485 -3.02643 0.547133
512 108 1639.1 2.09687 -3.02511 0.548996
531 108 1639.11 2.10183 -3.02207 0.552798
0 109 1639.2 1.9909 -3.11004 0.423978
524 108 1639.22 2.10164 -3.02217 0.553151
519 108 1639.24 2.09967 -3.02336 0.551476
570 108 1642.03 2.10012 -3.02396 0.549588
573 108 1642.04 2.10047 -3.02387 0.549935
601 108 1643.6 2.10477 -3.02256 0.554108
620 108 1646.23 2.10038 -3.02664 0.549684
624 108 1646.75 2.09894 -3.0278 0.548264
630 108 1646.91 2.09718 -3.02941 0.546507
642 108 1647.41 2.09168 -3.03375 0.54095
651 108 1647.58 2.08706 -3.03707 0.536116
654 108 1647.61 2.08585 -3.03799 0.534818
663 108 1647.95 2.08344 -3.04007 0.532144
667 108 1648 2.08239 -3.04099 0.53096
158 109 1649.42 1.94234 -3.14214 0.377853
375 108 1650.21 2.07775 -3.04365 0.525552
362 109 1650.4 2.05688 -3.08307 0.517487
370 108 1650.49 2.07468 -3.04551 0.522153
390 108 1651.14 2.07726 -3.04381 0.526774
101 109 1651.72 1.95451 -3.13444 0.388091
93 109 1651.85 1.95844 -3.13206 0.392147
81 109 1652.04 1.96208 -3.12953 0.395442
119 109 1652.61 1.95601 -3.1347 0.390807
242 68 1720.58 1.52636 -1.9477 -0.0691125
461 70 1725.03 1.76312 -2.01098 -0.0563199
